2026-08-08 20:45:44,924 | INFO | MainThread | epoch 24 dev metrics (tuned thresholds): st1_macro_f1=0.606, st2_macro_f1=0.528, st3_macro_f1=0.397, st3_family_macro_f1=0.515, mean_macro_f1=0.511
2026-08-08 20:46:31,903 | INFO | MainThread | epoch 25: mean train loss = 0.7021
2026-08-08 20:46:40,036 | INFO | MainThread | epoch 25 dev metrics (tuned thresholds): st1_macro_f1=0.655, st2_macro_f1=0.567, st3_macro_f1=0.404, st3_family_macro_f1=0.526, mean_macro_f1=0.542
2026-08-08 20:46:40,072 | INFO | MainThread | epoch 25: new best mean_macro_f1=0.542, saved to runs/last_layer_roberta/best
2026-08-08 20:47:27,239 | INFO | MainThread | epoch 26: mean train loss = 0.6969
2026-08-08 20:47:35,361 | INFO | MainThread | epoch 26 dev metrics (tuned thresholds): st1_macro_f1=0.652, st2_macro_f1=0.555, st3_macro_f1=0.412, st3_family_macro_f1=0.526, mean_macro_f1=0.540
2026-08-08 20:48:21,342 | INFO | MainThread | epoch 27: mean train loss = 0.6867
2026-08-08 20:48:30,672 | INFO | MainThread | epoch 27 dev metrics (tuned thresholds): st1_macro_f1=0.604, st2_macro_f1=0.585, st3_macro_f1=0.435, st3_family_macro_f1=0.584, mean_macro_f1=0.541
2026-08-08 20:49:16,688 | INFO | MainThread | epoch 28: mean train loss = 0.6759
2026-08-08 20:49:24,751 | INFO | MainThread | epoch 28 dev metrics (tuned thresholds): st1_macro_f1=0.658, st2_macro_f1=0.591, st3_macro_f1=0.447, st3_family_macro_f1=0.582, mean_macro_f1=0.565
2026-08-08 20:49:24,785 | INFO | MainThread | epoch 28: new best mean_macro_f1=0.565, saved to runs/last_layer_roberta/best
2026-08-08 20:50:12,105 | INFO | MainThread | epoch 29: mean train loss = 0.6417
2026-08-08 20:50:20,200 | INFO | MainThread | epoch 29 dev metrics (tuned thresholds): st1_macro_f1=0.689, st2_macro_f1=0.595, st3_macro_f1=0.431, st3_family_macro_f1=0.588, mean_macro_f1=0.571
2026-08-08 20:50:20,234 | INFO | MainThread | epoch 29: new best mean_macro_f1=0.571, saved to runs/last_layer_roberta/best
2026-08-08 20:51:07,591 | INFO | MainThread | epoch 30: mean train loss = 0.6448
2026-08-08 20:51:15,673 | INFO | MainThread | epoch 30 dev metrics (tuned thresholds): st1_macro_f1=0.638, st2_macro_f1=0.600, st3_macro_f1=0.432, st3_family_macro_f1=0.576, mean_macro_f1=0.556
2026-08-08 20:52:01,846 | INFO | MainThread | epoch 31: mean train loss = 0.6223
