2026-08-04 14:42:25,803 | INFO | MainThread | epoch 20: new best mean_macro_f1=0.510, saved to runs/lora_roberta/best
2026-08-04 14:44:08,707 | INFO | MainThread | epoch 21: mean train loss = 0.4756
2026-08-04 14:44:18,616 | INFO | MainThread | epoch 21 dev metrics: st1_macro_f1=0.617, st2_macro_f1=0.566, st3_macro_f1=0.298, st3_family_macro_f1=0.463, mean_macro_f1=0.494
2026-08-04 14:46:01,386 | INFO | MainThread | epoch 22: mean train loss = 0.4430
2026-08-04 14:46:11,316 | INFO | MainThread | epoch 22 dev metrics: st1_macro_f1=0.648, st2_macro_f1=0.602, st3_macro_f1=0.325, st3_family_macro_f1=0.513, mean_macro_f1=0.525
2026-08-04 14:46:11,365 | INFO | MainThread | epoch 22: new best mean_macro_f1=0.525, saved to runs/lora_roberta/best
2026-08-04 14:47:54,188 | INFO | MainThread | epoch 23: mean train loss = 0.4309
2026-08-04 14:48:04,001 | INFO | MainThread | epoch 23 dev metrics: st1_macro_f1=0.593, st2_macro_f1=0.557, st3_macro_f1=0.335, st3_family_macro_f1=0.493, mean_macro_f1=0.495
2026-08-04 14:49:46,967 | INFO | MainThread | epoch 24: mean train loss = 0.4293
2026-08-04 14:49:56,903 | INFO | MainThread | epoch 24 dev metrics: st1_macro_f1=0.656, st2_macro_f1=0.552, st3_macro_f1=0.325, st3_family_macro_f1=0.491, mean_macro_f1=0.511
2026-08-04 14:51:39,640 | INFO | MainThread | epoch 25: mean train loss = 0.4038
2026-08-04 14:51:49,543 | INFO | MainThread | epoch 25 dev metrics: st1_macro_f1=0.662, st2_macro_f1=0.617, st3_macro_f1=0.369, st3_family_macro_f1=0.553, mean_macro_f1=0.549
2026-08-04 14:51:49,595 | INFO | MainThread | epoch 25: new best mean_macro_f1=0.549, saved to runs/lora_roberta/best
2026-08-04 14:53:32,449 | INFO | MainThread | epoch 26: mean train loss = 0.3873
2026-08-04 14:53:42,410 | INFO | MainThread | epoch 26 dev metrics: st1_macro_f1=0.666, st2_macro_f1=0.626, st3_macro_f1=0.360, st3_family_macro_f1=0.546, mean_macro_f1=0.550
2026-08-04 14:53:42,462 | INFO | MainThread | epoch 26: new best mean_macro_f1=0.550, saved to runs/lora_roberta/best
2026-08-04 14:55:25,340 | INFO | MainThread | epoch 27: mean train loss = 0.3730
2026-08-04 14:55:35,268 | INFO | MainThread | epoch 27 dev metrics: st1_macro_f1=0.660, st2_macro_f1=0.621, st3_macro_f1=0.365, st3_family_macro_f1=0.561, mean_macro_f1=0.549
2026-08-04 14:57:18,203 | INFO | MainThread | epoch 28: mean train loss = 0.3701
2026-08-04 14:57:28,156 | INFO | MainThread | epoch 28 dev metrics: st1_macro_f1=0.661, st2_macro_f1=0.603, st3_macro_f1=0.348, st3_family_macro_f1=0.537, mean_macro_f1=0.537
2026-08-04 14:59:10,996 | INFO | MainThread | epoch 29: mean train loss = 0.3595
2026-08-04 14:59:20,937 | INFO | MainThread | epoch 29 dev metrics: st1_macro_f1=0.641, st2_macro_f1=0.577, st3_macro_f1=0.365, st3_family_macro_f1=0.545, mean_macro_f1=0.528
2026-08-04 15:01:03,789 | INFO | MainThread | epoch 30: mean train loss = 0.3584
2026-08-04 15:01:13,714 | INFO | MainThread | epoch 30 dev metrics: st1_macro_f1=0.660, st2_macro_f1=0.581, st3_macro_f1=0.367, st3_family_macro_f1=0.563, mean_macro_f1=0.536
2026-08-04 15:02:56,491 | INFO | MainThread | epoch 31: mean train loss = 0.3473
2026-08-04 15:03:06,382 | INFO | MainThread | epoch 31 dev metrics: st1_macro_f1=0.646, st2_macro_f1=0.605, st3_macro_f1=0.356, st3_family_macro_f1=0.548, mean_macro_f1=0.535
2026-08-04 15:04:49,171 | INFO | MainThread | epoch 32: mean train loss = 0.3419
2026-08-04 15:04:59,065 | INFO | MainThread | epoch 32 dev metrics: st1_macro_f1=0.659, st2_macro_f1=0.612, st3_macro_f1=0.321, st3_family_macro_f1=0.530, mean_macro_f1=0.531
2026-08-04 15:06:42,055 | INFO | MainThread | epoch 33: mean train loss = 0.3276
2026-08-04 15:06:51,924 | INFO | MainThread | epoch 33 dev metrics: st1_macro_f1=0.661, st2_macro_f1=0.631, st3_macro_f1=0.396, st3_family_macro_f1=0.600, mean_macro_f1=0.563
2026-08-04 15:06:51,974 | INFO | MainThread | epoch 33: new best mean_macro_f1=0.563, saved to runs/lora_roberta/best
2026-08-04 15:08:34,632 | INFO | MainThread | epoch 34: mean train loss = 0.3249
